"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,5,1,1942,1943,-1,2134,2100,34,"EV",3267,"N13949","EWR","PWM",54,284,19,43,2013-05-01 19:00:00
2013,3,2,1607,1610,-3,1717,1800,-43,"AA",341,"N469AA","LGA","ORD",106,733,16,10,2013-03-02 16:00:00
2013,2,19,1332,1335,-3,1918,1929,-11,"UA",15,"N77066","EWR","HNL",617,4963,13,35,2013-02-19 13:00:00
2013,4,1,1423,1426,-3,1643,1653,-10,"DL",1705,"N343NW","LGA","MSY",182,1183,14,26,2013-04-01 14:00:00
2013,6,12,846,840,6,1146,1139,7,"UA",443,"N596UA","JFK","LAX",326,2475,8,40,2013-06-12 08:00:00
2013,2,19,2330,2129,121,31,2245,106,"EV",4210,"N12142","EWR","BTV",45,266,21,29,2013-02-19 21:00:00
2013,5,7,600,600,0,828,835,-7,"B6",517,"N526JB","EWR","MCO",130,937,6,0,2013-05-07 06:00:00
2013,10,21,1639,1642,-3,1830,1837,-7,"DL",1365,"N314US","EWR","DTW",94,488,16,42,2013-10-21 16:00:00
2013,11,12,852,900,-8,1216,1157,19,"B6",27,"N646JB","EWR","MCO",148,937,9,0,2013-11-12 09:00:00
2013,9,10,1007,1015,-8,1111,1129,-18,"EV",6181,"N12136","EWR","IAD",40,212,10,15,2013-09-10 10:00:00
2013,11,5,1607,1615,-8,1909,1915,-6,"AA",65,"N3FHAA","JFK","DFW",209,1391,16,15,2013-11-05 16:00:00
2013,4,25,1705,1511,114,1921,1705,136,"EV",4326,"N15986","EWR","CLT",88,529,15,11,2013-04-25 15:00:00
2013,3,15,835,831,4,1129,1151,-22,"UA",1223,"N57855","EWR","LAX",328,2454,8,31,2013-03-15 08:00:00
2013,8,7,747,752,-5,1019,1041,-22,"B6",163,"N354JB","JFK","SRQ",136,1041,7,52,2013-08-07 07:00:00
2013,12,9,1756,1515,161,1941,1649,172,"UA",333,"N431UA","EWR","ORD",132,719,15,15,2013-12-09 15:00:00
2013,10,5,1013,1020,-7,1241,1309,-28,"B6",53,"N625JB","JFK","PBI",128,1028,10,20,2013-10-05 10:00:00
2013,6,11,1337,1340,-3,1608,1640,-32,"AA",753,"N3EVAA","LGA","DFW",184,1389,13,40,2013-06-11 13:00:00
2013,3,14,1458,1455,3,1631,1645,-14,"AA",337,"N553AA","LGA","ORD",114,733,14,55,2013-03-14 14:00:00
2013,12,10,745,745,0,1107,1040,27,"MQ",3066,"N535MQ","JFK","TPA",167,1005,7,45,2013-12-10 07:00:00
2013,7,28,1646,1635,11,2113,1938,95,"B6",89,"N536JB","JFK","SAN",329,2446,16,35,2013-07-28 16:00:00
2013,5,30,1028,807,141,1300,1102,118,"UA",1474,"N87507","EWR","DFW",189,1372,8,7,2013-05-30 08:00:00
2013,8,22,859,900,-1,1133,1126,7,"EV",5109,"N759EV","LGA","CHS",100,641,9,0,2013-08-22 09:00:00
